star_id,name,brightness_apparent,stellar_classification,constellation,galaxy_id
2501,V649 Cas,6.53,B0Vn,Cassiopeia,43
2502,54 Cas,6.57,F8,Cassiopeia,43
2503,V816 Cas,6.58,M2III,Cassiopeia,43
2504,V764 Cas,6.61,B2IIIne,Cassiopeia,43
2505,V784 Cas,6.64,F5II,Cassiopeia,43
2506,V772 Cas,6.69,B8IIIsp...,Cassiopeia,43
2507,V809 Cas,6.74,K4.5Ib,Cassiopeia,43
2508,V779 Cas,6.78,A0,Cassiopeia,43
2509,HD 11755,6.87,G5,Cassiopeia,43
2510,TU Cas,6.88,F3II...,Cassiopeia,43
2511,HD 223960,6.9,A0.1Ia,Cassiopeia,43
2512,V Cas,6.9,M5-7.5e,Cassiopeia,43
2513,V486 Cas,6.95,B1III,Cassiopeia,43
2514,HD 14817,7.02,B8V,Cassiopeia,43
2515,V777 Cas,7.02,B2Vne,Cassiopeia,43
2516,HD 17505,7.08,O7V((f))+O9I,Cassiopeia,43
2517,CC Cas,7.08,O8.5III,Cassiopeia,43
2518,HD 698,7.08,B7:Ib-IIe,Cassiopeia,43
2519,V989 Cas,7.13,K2V,Cassiopeia,43
2520,V636 Cas,7.19,G0Ib,Cassiopeia,43
2521,HD 7924,7.19,K0V,Cassiopeia,43
2522,TV Cas,7.22,B9V,Cassiopeia,43
2523,V755 Cas,7.29,A1Ia,Cassiopeia,43
2524,RV Cas,7.3,M5-6.5Se,Cassiopeia,43
2525,HD 108,7.4,O4-8f?p,Cassiopeia,43
2526,HD 221585,7.47,G8IV,Cassiopeia,43
2527,HD 13908,7.51,F8V,Cassiopeia,43
2528,Gliese 83.3,7.52,K5III,Cassiopeia,43
2529,HD 221568,7.55,A0p,Cassiopeia,43
2530,HD 19557,7.57,"C4,5J",Cassiopeia,43
2531,V487 Cas,7.6,G4Ia,Cassiopeia,43
2532,HD 16429,7.65,O9.5III+F4V,Cassiopeia,43
2533,WZ Cas,7.7,"C9,2JLi",Cassiopeia,43
2534,HD 12288,7.74,A2,Cassiopeia,43
2535,W Cas,7.8,"C9,1e",Cassiopeia,43
2536,HD 15558,7.87,O4.5III,Cassiopeia,43
2537,S Cas,7.9,S3-5/4-8,Cassiopeia,43
2538,HD 220842,7.99,F8,Cassiopeia,43
2539,U Cas,8.0,S4.5-6/3-5e,Cassiopeia,43
2540,HD 15570,8.11,O4If+,Cassiopeia,43
2541,V745 Cas,8.11,B0V+B1.5III,Cassiopeia,43
2542,HD 220147,8.12,B9p,Cassiopeia,43
2543,HD 17156,8.17,G0IV,Cassiopeia,43
2544,HD 240237,8.17,K2,Cassiopeia,43
2545,HD 17520,8.24,O8V+O9:V,Cassiopeia,43
2546,V641 Cas,8.3,M0,Cassiopeia,43
2547,V368 Cas,8.32,B8II-III,Cassiopeia,43
2548,HD 240210,8.33,K3III,Cassiopeia,43
2549,V605 Cas,8.36,M2Iab,Cassiopeia,43
2550,TW Cas,8.38,A0V,Cassiopeia,43
2551,HD 15629,8.42,O4.5V,Cassiopeia,43
2552,HD 5797,8.47,Am,Cassiopeia,43
2553,Z Cas,8.5,M7e,Cassiopeia,43
2554,HD 217850,8.5,G8V,Cassiopeia,43
2555,DO Cas,8.54,A2II,Cassiopeia,43
2556,HD 12098,,F0,Cassiopeia,43
2557,RW Cas,8.58,G2,Cassiopeia,43
2558,DL Cas,8.63,G1Ib-II_Hdel-1,Cassiopeia,43
2559,RX Cas,8.64,K1III+A5eIII,Cassiopeia,43
2560,Y Cas,8.7,M7.5e,Cassiopeia,43
2561,BD+60 2522,8.7,O6.5III,Cassiopeia,43
2562,T Cas,8.87,M7-9e,Cassiopeia,43
2563,PZ Cas,8.9,M3Iab:,Cassiopeia,43
2564,BM Cas,8.91,F0Ia,Cassiopeia,43
2565,HD 219415,8.94,K0III,Cassiopeia,43
2566,SX Cas,8.87,B5+K3III,Cassiopeia,43
2567,WW Cas,9.1,"C5,5",Cassiopeia,43
2568,FM Cas,9.16,F7.5Ib,Cassiopeia,43
2569,TZ Cas,9.18,M3Iab,Cassiopeia,43
2570,AZ Cas,9.22,M0Ib:ep+B,Cassiopeia,43
2571,TX Cas,9.33,B1V,Cassiopeia,43
2572,X Cas,9.45,"C5,4e",Cassiopeia,43
2573,XX Cas,9.57,B4Vn,Cassiopeia,43
2574,SZ Cas,9.6,G5III,Cassiopeia,43
2575,SW Cas,9.74,K0,Cassiopeia,43
2576,UU Cas,9.74,B1Iab:,Cassiopeia,43
2577,DD Cas,9.84,F7,Cassiopeia,43
2578,PV Cas,9.86,B6V,Cassiopeia,43
2579,SY Cas,9.92,F5,Cassiopeia,43
2580,DN Cas,9.93,O8Vv,Cassiopeia,43
2581,RY Cas,9.95,F9Ib,Cassiopeia,43
2582,XY Cas,9.97,F6Iab-b:...,Cassiopeia,43
2583,OX Cas,10.06,B1V,Cassiopeia,43
2584,RS Cas,10.06,F7-G1Ib,Cassiopeia,43
2585,QQ Cas,10.2,B2,Cassiopeia,43
2586,V381 Cas,10.22,B,Cassiopeia,43
2587,QX Cas,10.25,B1V+B1V,Cassiopeia,43
2588,V547 Cas,10.29,M2V+M3V,Cassiopeia,43
2589,AQ Cas,10.31,B3,Cassiopeia,43
2590,AB Cas,10.32,A3Vv+...,Cassiopeia,43
2591,V459 Cas,10.36,B9,Cassiopeia,43
2592,BY Cas,10.41,F5,Cassiopeia,43
2593,VX Cas,10.5,A0Vep,Cassiopeia,43
2594,WR 1,10.54,WN4-s,Cassiopeia,43
2595,MWC 419,10.6,B8eq,Cassiopeia,43
2596,CE Cas,10.63,F9Ib+F8Ib,Cassiopeia,43
2597,CD Cas,10.64,F6-G5,Cassiopeia,43
2598,VW Cas,10.67,K0,Cassiopeia,43
2599,WR 3,10.69,WN3h-w,Cassiopeia,43
2600,VV Cas,10.73,F6,Cassiopeia,43
2601,DF Cas,10.74,F8,Cassiopeia,43
2602,V364 Cas,10.75,A7,Cassiopeia,43
2603,WY Cas,10.76,S6-6.5/6-e,Cassiopeia,43
2604,ZZ Cas,10.79,B3,Cassiopeia,43
2605,CH Cas,10.79,F3Ibp,Cassiopeia,43
2606,CF Cas,10.8,B3,Cassiopeia,43
2607,BP Cas,10.8,F6,Cassiopeia,43
2608,LS I +61 303,10.8,B0Ve,Cassiopeia,43
2609,V523 Cas,10.87,K4V,Cassiopeia,43
2610,WASP-93,10.97,F4,Cassiopeia,43
2611,CW Cas,11.08,G8V,Cassiopeia,43
2612,2S 0114+650,11.09,B1Iae,Cassiopeia,43
2613,IR Cas,11.14,F4...,Cassiopeia,43
2614,IT Cas,11.23,F6,Cassiopeia,43
2615,WR 2,11.33,WN2-w,Cassiopeia,43
2616,CG Cas,11.28,F5,Cassiopeia,43
2617,RX J0146.9+6121,11.34,B1III-Ve,Cassiopeia,43
2618,IV Cas,11.34,A2,Cassiopeia,43
2619,IX Cas,11.36,F7,Cassiopeia,43
2620,UZ Cas,11.45,G2,Cassiopeia,43
2621,GP Cas,11.5,M2Iab,Cassiopeia,43
2622,MWC 1080,11.58,B0eq,Cassiopeia,43
2623,CY Cas,11.67,G1-2Ib,Cassiopeia,43
2624,UV Cas,11.8,F0/5Ib,Cassiopeia,43
2625,BS Cas,11.84,A-F,Cassiopeia,43
2626,Gliese 82,12.04,M4Ve,Cassiopeia,43
2627,V627 Cas,12.4,M2eII-III,Cassiopeia,43
2628,TY Cas,,M6,Cassiopeia,43
2629,V592 Cas,12.79,OB,Cassiopeia,43
2630,HV Cas,12.9,Ce,Cassiopeia,43
2631,BH Cas,13.0,B3,Cassiopeia,43
2632,IRAS 23304+6147,13.1,G2Ia,Cassiopeia,43
2633,LkHα 198,13.79,B9e,Cassiopeia,43
2634,V664 Cas,14.56,,Cassiopeia,43
2635,V425 Cas,,,Cassiopeia,43
2636,V709 Cas,,,Cassiopeia,43
2637,4U 0115+634,15.19,B0.2Ve,Cassiopeia,43
2638,V376 Cas,,A3/F2e,Cassiopeia,43
2639,IGR J00234+6141,16.1,,Cassiopeia,43
2640,V705 Cas,16.4,,Cassiopeia,43
2641,Tycho G,17.0,G2IV,Cassiopeia,43
2642,V723 Cas,18.0,A7,Cassiopeia,43
2643,RNO 1B,18.6,F8II,Cassiopeia,43
2644,HT Cas,19.32,M5.5e,Cassiopeia,43
2645,4U 0142+61,25.62,,Cassiopeia,43
2646,IGR J00291+5934,,,Cassiopeia,43
2647,1E 2259+586,,,Cassiopeia,43
2648,PSR B2319+60,,,Cassiopeia,43
2649,PSR B2334+61,,,Cassiopeia,43
2650,PSR J0205+6449,,,Cassiopeia,43
2651,OH 127.8+0.0,,M9III,Cassiopeia,43
2652,W3 IRS 5,,B1,Cassiopeia,43
2653,IRAS 00338+6312,,,Cassiopeia,43
2654,α Cen A,,G2V,Centaurus,2
2655,β Cen,0.61,B1III,Centaurus,2
2656,α Cen B,1.35,K1V,Centaurus,2
2657,θ Cen (5 Cen),2.06,K0IIIb,Centaurus,2
2658,γ Cen,2.2,A1IV,Centaurus,2
2659,ε Cen,2.29,B1III,Centaurus,2
2660,η Cen,2.33,B1Vn + A,Centaurus,2
2661,ζ Cen,2.55,B2.5IV,Centaurus,2
2662,δ Cen,2.58,B2IVne,Centaurus,2
2663,ι Cen,2.75,A2V,Centaurus,2
2664,λ Cen,3.11,B9II:,Centaurus,2
2665,κ Cen,3.13,B2IV,Centaurus,2
2666,ν Cen,3.41,B2IV,Centaurus,2
2667,μ Cen,3.47,B2IV-Ve,Centaurus,2
2668,φ Cen,3.83,B2IV,Centaurus,2
2669,τ Cen,3.85,A2V,Centaurus,2
2670,υ1 Cen,3.87,B2IV-V,Centaurus,2
2671,π Cen,3.9,B5Vn,Centaurus,2
2672,d Cen,3.9,G8II/III,Centaurus,2
2673,σ Cen,3.91,B3V,Centaurus,2
2674,ρ Cen,3.97,B3V,Centaurus,2
2675,b Cen,4.01,B2.5V,Centaurus,2
2676,ψ Cen,4.05,A0IV,Centaurus,2
2677,c1 Cen,4.06,K3III,Centaurus,2
2678,HD 102350,4.11,G0II,Centaurus,2
2679,2 Cen,4.19,M5III,Centaurus,2
2680,1 Cen,4.23,F3V,Centaurus,2
2681,n Cen,4.25,A4IV,Centaurus,2
2682,ξ2 Cen,4.27,B1.5V,Centaurus,2
2683,j Cen,4.3,B3V,Centaurus,2
2684,v Cen,4.3,B6Ib,Centaurus,2
2685,3 Cen A,4.32,B5,Centaurus,2
2686,e Cen,4.33,K3/K4III,Centaurus,2
2687,υ2 Cen,4.34,F6II,Centaurus,2
2688,χ Cen,4.36,B2V,Centaurus,2
2689,V761 Cen,4.41,B2V,Centaurus,2
2690,V863 Cen,4.46,B2IIIne,Centaurus,2
2691,B Cen,4.47,K4III,Centaurus,2
2692,J Cen,4.52,B3V,Centaurus,2
2693,m Cen,4.52,G5III-IV,Centaurus,2
2694,V831 Cen,4.58,B8V,Centaurus,2
2695,A Cen,4.62,B9V,Centaurus,2
2696,l Cen,4.63,B8II/III,Centaurus,2
2697,M Cen,4.64,G8/K0III,Centaurus,2
2698,w Cen,4.66,K0III,Centaurus,2
2699,f Cen,4.71,B5V,Centaurus,2
2700,294 G. Cen,4.71,K4III,Centaurus,2
2701,321 G. Cen,4.74,G8III,Centaurus,2
2702,4 Cen,4.75,B4IV,Centaurus,2
2703,340 G. Cen,4.76,G8/K1 + F/G,Centaurus,2
2704,G Cen,4.82,B3Vn,Centaurus,2
2705,ξ1 Cen,4.83,A0V,Centaurus,2
2706,185 G. Cen,4.85,G3IV,Centaurus,2
2707,HR 4523,4.89,G3/G5V,Centaurus,2
2708,p Cen,4.9,B9V,Centaurus,2
2709,191 G. Cen,4.9,F7IV,Centaurus,2
2710,c2 Cen,4.92,A0V,Centaurus,2
2711,58 G. Cen,4.93,G3Ib,Centaurus,2
2712,Q Cen,4.99,B8Vn+...,Centaurus,2
2713,26 G. Cen,5.0,K4III,Centaurus,2
2714,V810 Cen,5.0,F9Ia,Centaurus,2
2715,F Cen,5.01,M1III,Centaurus,2
2716,V1019 Cen,5.02,B7II/III,Centaurus,2
2717,V795 Cen,5.03,B4Vne,Centaurus,2
2718,K Cen,5.04,A0V,Centaurus,2
2719,ο1 Cen,5.07,G0Ia,Centaurus,2
2720,r Cen,5.1,K0III,Centaurus,2
2721,217 G. Cen,5.11,Kp...,Centaurus,2
2722,ο2 Cen,5.12,A3Ia,Centaurus,2
2723,128 G. Cen,5.12,A7III,Centaurus,2
2724,34 G. Cen,5.14,B9V,Centaurus,2
2725,52 G. Cen,5.14,K1III,Centaurus,2
2726,V815 Cen,5.15,Ap SrCrEu,Centaurus,2
2727,54 G. Cen,5.15,B9IV,Centaurus,2
2728,88 G. Cen,5.15,F6V,Centaurus,2
2729,z Cen,5.15,A0V,Centaurus,2
2730,H Cen,5.17,B8V,Centaurus,2
2731,31 G. Cen,5.18,F7V,Centaurus,2
2732,29 G. Cen,5.21,K0III,Centaurus,2
2733,33 G. Cen,5.22,B3IV,Centaurus,2
2734,334 G. Cen,5.22,Am,Centaurus,2
2735,182 G. Cen,5.24,K1/K2III,Centaurus,2
2736,C2 Cen,5.26,A7m,Centaurus,2
2737,N Cen,5.26,B9Vn,Centaurus,2
2738,64 G. Cen,5.28,B6III,Centaurus,2
2739,D Cen,5.31,K3III,Centaurus,2
2740,x1 Cen,5.32,B8/B9V,Centaurus,2
2741,215 G. Cen,5.32,F2III,Centaurus,2
2742,381 G. Cen,5.32,A0V,Centaurus,2
2743,E Cen,5.34,A1V,Centaurus,2
2744,9 G. Cen,5.37,A2III,Centaurus,2
2745,251 G. Cen,5.38,B9IV,Centaurus,2
2746,41 G. Cen,5.39,A2IV/V,Centaurus,2
2747,V918 Cen,5.42,K5III,Centaurus,2
2748,u Cen,5.45,B8/B9V,Centaurus,2
2749,C3 Cen,5.46,K2III,Centaurus,2
2750,152 G. Cen,5.46,M0III,Centaurus,2
2751,269 G. Cen,5.46,K2III,Centaurus,2
2752,V964 Cen,5.47,B6V,Centaurus,2
2753,43 G. Cen,5.5,K1III/IV,Centaurus,2
2754,V817 Cen,5.51,B3IV,Centaurus,2
2755,HD 120987,5.53,F3V,Centaurus,2
2756,324 G. Cen,5.53,K5III+...,Centaurus,2
2757,59 G. Cen,5.54,A0V,Centaurus,2
2758,74 G. Cen,5.56,B4III,Centaurus,2
2759,341 G. Cen,5.57,B8V,Centaurus,2
2760,172 G. Cen,5.59,K0II/III,Centaurus,2
2761,248 G. Cen,5.61,K2/K3III,Centaurus,2
2762,330 G. Cen,5.61,G8III,Centaurus,2
2763,176 G. Cen,5.63,A0V,Centaurus,2
2764,235 G. Cen,5.63,F6V,Centaurus,2
2765,39 G. Cen,5.64,M1III,Centaurus,2
2766,C1 Cen,5.64,M3III,Centaurus,2
2767,288 G. Cen,5.66,B8V,Centaurus,2
2768,367 G. Cen,5.67,Ap Si,Centaurus,2
2769,70 G. Cen,5.68,A3Iab,Centaurus,2
2770,221 G. Cen,5.69,K3III,Centaurus,2
2771,142 G. Cen,5.7,A5V,Centaurus,2
2772,177 G. Cen,5.7,B8V,Centaurus,2
2773,x2 Cen,5.71,B9IV/V,Centaurus,2
2774,V744 Cen,5.74,M8III,Centaurus,2
2775,359 G. Cen,5.74,B8V,Centaurus,2
2776,13 G. Cen,5.75,K2III,Centaurus,2
2777,V788 Cen,5.75,A3III,Centaurus,2
2778,127 G. Cen,5.76,G4IV,Centaurus,2
2779,205 G. Cen,5.76,K1III,Centaurus,2
2780,11 G. Cen,5.77,K5/M0III,Centaurus,2
2781,102 G. Cen,5.77,B4III,Centaurus,2
2782,278 G. Cen,5.77,B2Vp,Centaurus,2
2783,129 G. Cen,5.78,A0V,Centaurus,2
2784,181 G. Cen,5.78,F7IV,Centaurus,2
2785,114 G. Cen,5.79,B8/B9V,Centaurus,2
2786,243 G. Cen,5.79,F3III-IV,Centaurus,2
2787,32 G. Cen,5.8,K0III+...,Centaurus,2
2788,209 G. Cen,5.81,B2.5Ib,Centaurus,2
2789,27 G. Cen,5.82,A4:p,Centaurus,2
2790,196 G. Cen,5.82,Am,Centaurus,2
2791,293 G. Cen,5.82,K0IV,Centaurus,2
2792,V767 Cen,5.83,B2IIIe,Centaurus,2
2793,50 G. Cen,5.84,B2.5IV,Centaurus,2
2794,133 G. Cen,5.84,K3II,Centaurus,2
2795,193 G. Cen,5.84,K0IV,Centaurus,2
2796,380 G. Cen,5.85,K2III,Centaurus,2
2797,30 G. Cen,5.87,M3III,Centaurus,2
2798,140 G. Cen,5.87,K3III,Centaurus,2
2799,283 G. Cen,5.87,B5III,Centaurus,2
2800,357 G. Cen,5.88,B6V,Centaurus,2
2801,388 G. Cen,5.88,K2/K3III,Centaurus,2
2802,79 G. Cen,5.89,A3Ib,Centaurus,2
2803,151 G. Cen,5.89,G2IV,Centaurus,2
2804,375 G. Cen,5.89,M5III,Centaurus,2
2805,189 G. Cen,5.9,B9V,Centaurus,2
2806,373 G. Cen,5.9,K3III,Centaurus,2
2807,148 G. Cen,5.91,K3III,Centaurus,2
2808,190 G. Cen,5.91,K0/K1III,Centaurus,2
2809,239 G. Cen,5.91,B8V,Centaurus,2
2810,268 G. Cen,5.92,A3m...,Centaurus,2
2811,298 G. Cen,5.92,G8/K0III,Centaurus,2
2812,305 G. Cen,5.93,K2III,Centaurus,2
2813,337 G. Cen,5.93,A1V,Centaurus,2
2814,V914 Cen,5.95,M1III,Centaurus,2
2815,236 G. Cen,5.96,G8/K0III,Centaurus,2
2816,256 G. Cen,5.96,K0III,Centaurus,2
2817,258 G. Cen,5.96,B8III,Centaurus,2
2818,V869 Cen,5.96,B9IV,Centaurus,2
2819,60 G. Cen,5.98,K3III,Centaurus,2
2820,174 G. Cen,5.98,B9IV+...,Centaurus,2
2821,145 G. Cen,5.99,B7/B8V,Centaurus,2
2822,351 G. Cen,5.99,K1III,Centaurus,2
2823,V928 Cen,6.0,M2II/III,Centaurus,2
2824,203 G. Cen,6.0,B0.5Ia,Centaurus,2
2825,242 G. Cen,6.0,G5Ib,Centaurus,2
2826,253 G. Cen,6.0,B0.5III,Centaurus,2
2827,291 G. Cen,6.0,G8V,Centaurus,2
2828,162 G. Cen,6.01,F3V,Centaurus,2
2829,85 G. Cen,6.04,K1/K2II,Centaurus,2
2830,361 G. Cen,6.04,K3III,Centaurus,2
2831,76 G. Cen,6.05,A0/A1III,Centaurus,2
2832,V824 Cen,6.05,Ap,Centaurus,2
2833,3 Cen B,6.06,,Centaurus,2
2834,383 G. Cen,6.06,K3III,Centaurus,2
2835,97 G. Cen,6.07,A5V,Centaurus,2
2836,352 G. Cen,6.07,K0III,Centaurus,2
2837,V828 Cen,6.08,B8 Si,Centaurus,2
2838,V716 Cen,6.09,B5V,Centaurus,2
2839,25 G. Cen,6.1,G8III,Centaurus,2
2840,62 G. Cen,6.1,A2III/IV,Centaurus,2
2841,HD 108063,6.1,F9.5IV,Centaurus,2
2842,282 G. Cen,6.11,F5/F6V,Centaurus,2
2843,10 G. Cen,6.12,G8II/III,Centaurus,2
2844,302 G. Cen,6.12,K1III,Centaurus,2
2845,28 G. Cen,6.13,B2IV-V,Centaurus,2
2846,80 G. Cen,6.13,K0III,Centaurus,2
2847,358 G. Cen,6.13,K1III,Centaurus,2
2848,229 G. Cen,6.14,K1III,Centaurus,2
2849,290 G. Cen,6.14,A1V,Centaurus,2
2850,106 G. Cen,6.15,A0V,Centaurus,2
2851,67 G. Cen,6.16,G8III,Centaurus,2
2852,192 G. Cen,6.16,K5II,Centaurus,2
2853,194 G. Cen,6.17,K1III,Centaurus,2
2854,213 G. Cen,6.17,M2III,Centaurus,2
2855,HD 121056,6.17,K0III,Centaurus,2
2856,384 G. Cen,6.17,K1III,Centaurus,2
2857,V790 Cen,6.18,B2.5Vn,Centaurus,2
2858,186 G. Cen,6.18,G0V,Centaurus,2
2859,198 G. Cen,6.18,A0V,Centaurus,2
2860,211 G. Cen,6.18,A4V,Centaurus,2
2861,306 G. Cen,6.18,F6V,Centaurus,2
2862,312 G. Cen,6.18,G8III,Centaurus,2
2863,187 G. Cen,6.19,K0III,Centaurus,2
2864,319 G. Cen,6.19,B9V,Centaurus,2
2865,200 G. Cen,6.2,F3/F5II,Centaurus,2
2866,V992 Cen,6.2,A5III/IV,Centaurus,2
2867,389 G. Cen,6.21,A8/A9III/IV,Centaurus,2
2868,15 G. Cen,6.22,K4III,Centaurus,2
2869,unnamed2869,6.23,A0Ib,Centaurus,2
2870,100 G. Cen,6.23,G6III+...,Centaurus,2
2871,20 G. Cen,6.24,A1V,Centaurus,2
2872,104 G. Cen,6.24,K0III,Centaurus,2
2873,116 G. Cen,6.24,K2/K3III,Centaurus,2
2874,V789 Cen,6.24,M3/M4III,Centaurus,2
2875,120 G. Cen,6.25,G5IV-V,Centaurus,2
2876,63 G. Cen,6.26,K1III,Centaurus,2
2877,81 G. Cen,6.26,F3IV-V,Centaurus,2
2878,141 G. Cen,6.26,A0V,Centaurus,2
2879,147 G. Cen,6.26,G8Ib/II,Centaurus,2
2880,7 G. Cen,6.27,A1V,Centaurus,2
2881,222 G. Cen,6.27,B3IV,Centaurus,2
2882,2 G. Cen,6.28,G6IV,Centaurus,2
2883,V809 Cen,6.28,A3Iae,Centaurus,2
2884,V765 Cen,6.29,M3/M4III,Centaurus,2
2885,19 G. Cen,6.3,F3V,Centaurus,2
2886,49 G. Cen,6.3,A1V,Centaurus,2
2887,365 G. Cen,6.3,K0/K1II,Centaurus,2
2888,377 G. Cen,6.3,G0/G1V,Centaurus,2
2889,3 G. Cen,6.31,K2II,Centaurus,2
2890,144 G. Cen,6.31,A0IV,Centaurus,2
2891,220 G. Cen,6.31,A0III/IV,Centaurus,2
2892,332 G. Cen,6.31,F9V,Centaurus,2
2893,unnamed2893,6.32,O9.5Ib,Centaurus,2
2894,180 G. Cen,6.32,F0II,Centaurus,2
2895,232 G. Cen,6.32,B8III,Centaurus,2
2896,347 G. Cen,6.33,K3III,Centaurus,2
2897,279 G. Cen,6.34,F6V,Centaurus,2
2898,V883 Cen,6.34,B5IV,Centaurus,2
2899,84 G. Cen,6.36,B8/B9V,Centaurus,2
2900,348 G. Cen,6.36,B9V,Centaurus,2
2901,382 G. Cen,6.36,A0/A1V,Centaurus,2
2902,210 G. Cen,6.37,B6IV,Centaurus,2
2903,126 G. Cen,6.38,F5IV-V,Centaurus,2
2904,138 G. Cen,6.38,B8/B9V,Centaurus,2
2905,369 G. Cen,6.38,Asp...,Centaurus,2
2906,112 G. Cen,6.39,F2V,Centaurus,2
2907,310 G. Cen,6.39,B0Ia,Centaurus,2
2908,313 G. Cen,6.39,G8/K0III,Centaurus,2
2909,R Cen,6.39,,Centaurus,2
2910,350 G. Cen,6.39,K3III,Centaurus,2
2911,354 G. Cen,6.39,K2III,Centaurus,2
2912,130 G. Cen,6.4,A0V,Centaurus,2
2913,223 G. Cen,6.4,G8/K0III,Centaurus,2
2914,V766 Cen,6.4,A7V,Centaurus,2
2915,329 G. Cen,6.4,K3III,Centaurus,2
2916,238 G. Cen,6.41,K1III,Centaurus,2
2917,263 G. Cen,6.42,A1V,Centaurus,2
2918,137 G. Cen,6.43,A7III,Centaurus,2
2919,V1154 Cen,6.43,M1III,Centaurus,2
2920,254 G. Cen,6.43,M0III,Centaurus,2
2921,HD 120457,6.43,K1III,Centaurus,2
2922,317 G. Cen,6.43,B9V,Centaurus,2
2923,5 G. Cen,6.44,K3III,Centaurus,2
2924,168 G. Cen,6.44,F5III,Centaurus,2
2925,V827 Cen,6.44,A0p,Centaurus,2
2926,V808 Cen,6.45,B2Ia,Centaurus,2
2927,316 G. Cen,6.45,G3V,Centaurus,2
2928,386 G. Cen,6.45,B8V,Centaurus,2
2929,22 G. Cen,6.46,A0V,Centaurus,2
2930,V871 Cen,6.46,O8var,Centaurus,2
2931,77 G. Cen,6.46,F7V,Centaurus,2
2932,233 G. Cen,6.46,K2III,Centaurus,2
2933,349 G. Cen,6.46,A0II/III,Centaurus,2
2934,90 G. Cen,6.48,B9V,Centaurus,2
2935,155 G. Cen,6.48,A0p,Centaurus,2
2936,unnamed2936,6.48,G8III,Centaurus,2
2937,237 G. Cen,6.48,K0III,Centaurus,2
2938,299 G. Cen,6.49,F1III-IV,Centaurus,2
2939,unnamed2939,6.5,M0III,Centaurus,2
2940,89 G. Cen [1],6.51,F7V,Centaurus,2
2941,T Cen,6.58,M3e,Centaurus,2
2942,HD 114729,6.69,G3V,Centaurus,2
2943,HD 117253,6.75,K0III,Centaurus,2
2944,HD 115470,6.8,B9.5V,Centaurus,2
2945,HD 116434,7.01,A2V,Centaurus,2
2946,HD 117618,7.18,G2V,Centaurus,2
2947,HD 117207,7.26,G8IV-V,Centaurus,2
2948,HD 102117,7.47,G6V,Centaurus,2
2949,HD 121504,7.54,G2V,Centaurus,2
2950,Przybylski's Star,8.02,"F0, F5 or G0V",Centaurus,2
2951,HD 109749,8.1,G3V,Centaurus,2
2952,HD 101930,8.21,K1V,Centaurus,2
2953,HD 114386,8.73,K3V,Centaurus,2
2954,HD 113538,9.02,K9V,Centaurus,2
2955,HD 125595,9.03,K4V,Centaurus,2
2956,HD 108236,9.2,K4V,Centaurus,2
2957,HD 103197,9.41,K1Vp...,Centaurus,2
2958,HD 120411,9.9,,Centaurus,2
2959,HD 124448,9.99,B3p,Centaurus,2
2960,PSR B1259-63,10.08,B2e,Centaurus,2
2961,WASP-131,10.1,G0,Centaurus,2
2962,WASP-167,10.5,F1 V,Centaurus,2
2963,WASP-87 A,10.7,F5,Centaurus,2
2964,WASP-15,10.9,F7,Centaurus,2
2965,WASP-172,11.0,F1V,Centaurus,2
2966,Proxima Centauri,11.05,M5.5V,Centaurus,2
2967,WASP-130,11.1,G6,Centaurus,2
2968,WASP-108,11.2,F9,Centaurus,2
2969,WASP-41,11.6,G8V,Centaurus,2
2970,1A 1118-61,12.12,O9.5III/Ve,Centaurus,2
2971,WASP-129,12.3,G1,Centaurus,2
2972,WASP-128,12.5,G0V,Centaurus,2
2973,GJ 3737,12.74,M4.5V,Centaurus,2
2974,WASP-184,12.9,G0,Centaurus,2
2975,WASP-171,13.0,,Centaurus,2
2976,Krzeminski's Star,13.25,O6.5II,Centaurus,2
2977,BPM 37093,13.96,DA,Centaurus,2
2978,2M1207,20.15,M8V,Centaurus,2
2979,α Cep,2.45,A7IV-V,Cepheus,16
2980,γ Cep,3.21,K1IV,Cepheus,16
2981,β Cep,3.23,B2IIIv SB,Cepheus,16
2982,ζ Cep,3.39,K1Ibv SB,Cepheus,16
2983,η Cep,3.41,K0IV,Cepheus,16
2984,ι Cep,3.5,K0III,Cepheus,16
2985,δ Cep A,4.07,F5Iab + B7-8,Cepheus,16
2986,ε Cep,4.18,F0IV,Cepheus,16
2987,θ Cep,4.21,A7III,Cepheus,16
2988,μ Cep,4.23,M2Ia,Cepheus,16
2989,2 UMi,4.24,K2II-III,Cepheus,16
2990,ν Cep,4.25,A2Ia,Cepheus,16
2991,κ Cep,4.38,B9III,Cepheus,16
2992,π Cep,4.41,G2III,Cepheus,16
2993,ξ Cep A,4.45,Am,Cepheus,16
2994,HR 7955,4.52,F8IV-V,Cepheus,16
2995,11 Cep,4.55,K0III,Cepheus,16
2996,HD 217382,4.7,K4III,Cepheus,16
2997,ο Cep,4.75,K0III,Cepheus,16
2998,9 Cep,4.76,B2Ib,Cepheus,16
2999,HD 216446,4.77,K3III,Cepheus,16
3000,24 Cep,4.79,G8III,Cepheus,16
3001,16 Cep,5.04,F5V,Cepheus,16
3002,OV Cep,5.05,M2III,Cepheus,16
3003,λ Cep,5.05,O6If(n),Cepheus,16
3004,HD 223274,5.05,A1Vn,Cepheus,16
3005,19 Cep,5.07,O9.5Ib,Cepheus,16
3006,31 Cep,5.08,F3III-IV,Cepheus,16
